200 300 600
0 106 60 106
0 231 60 231
0 32 60 32
0 38 60 38
10 0 10 32
10 18 60 18
10 19 60 19
10 7 18 7
100 126 100 172
100 172 100 250
100 178 104 178
100 232 135 232
100 237 101 237
100 238 101 238
100 239 101 239
100 240 101 240
100 243 101 243
100 246 101 246
100 250 100 251
100 252 100 253
100 253 100 254
100 254 100 255
100 259 100 265
100 267 100 274
100 277 100 278
100 279 100 280
100 280 100 287
100 287 100 288
100 288 100 289
101 232 101 250
101 252 101 253
101 253 101 254
101 259 101 265
101 260 103 260
101 279 101 280
102 0 102 9
102 178 102 232
102 232 102 250
102 244 103 244
102 245 103 245
102 246 103 246
102 247 103 247
102 248 103 248
102 249 103 249
102 250 102 251
102 252 102 253
102 288 102 289
103 178 103 232
103 201 104 201
103 230 104 230
103 232 103 250
103 233 108 233
103 234 108 234
103 235 106 235
103 236 106 236
103 237 108 237
103 247 108 247
103 248 104 248
103 249 106 249
103 252 103 253
103 254 103 255
103 255 103 288
104 172 104 232
104 173 109 173
104 179 109 179
104 199 109 199
104 227 109 227
104 233 104 234
104 235 104 236
104 247 104 249
104 248 105 248
104 249 104 250
104 252 104 253
104 254 104 255
104 255 104 288
105 232 105 233
105 234 105 235
105 235 105 236
105 247 105 249
105 248 106 248
105 249 105 250
105 252 105 253
105 253 105 254
105 254 105 255
105 255 105 288
105 266 135 266
105 283 106 283
105 284 135 284
106 172 106 173
106 179 106 199
106 227 106 232
106 233 106 234
106 234 106 237
106 235 108 235
106 236 108 236
106 237 106 247
106 247 106 250
106 248 108 248
106 249 108 249
106 252 106 253
106 253 106 254
106 254 106 255
106 266 106 284
106 284 106 288
107 233 107 234
107 236 107 237
107 237 107 247
107 238 108 238
107 247 107 248
107 248 107 249
107 249 107 250
107 252 107 253
107 253 107 254
107 254 107 255
107 299 107 300
108 173 108 179
108 176 109 176
108 177 109 177
108 179 108 199
108 232 108 250
108 233 110 233
108 234 135 234
108 242 128 242
108 250 108 255
108 251 135 251
108 252 135 252
108 253 135 253
108 254 135 254
109 172 109 232
109 204 114 204
109 209 121 209
109 232 109 233
109 233 109 234
109 251 109 252
109 252 109 253
109 253 109 254
109 254 109 255
109 299 109 300
110 115 110 172
110 232 110 234
110 233 111 233
110 251 110 252
110 252 110 253
110 253 110 254
110 254 110 255
111 232 111 234
111 233 135 233
111 242 111 250
111 251 111 252
111 253 111 254
111 254 111 255
111 288 111 289
112 10 112 18
112 115 112 172
112 14 113 14
112 172 112 204
112 251 112 252
112 254 112 255
113 10 113 18
113 254 113 255
113 299 113 300
114 0 114 18
114 17 135 17
114 172 114 209
114 190 121 190
114 195 121 195
114 253 114 254
114 254 114 255
114 291 114 299
114 299 114 300
115 17 115 18
115 172 115 190
115 250 115 251
115 253 115 254
115 254 115 255
115 299 115 300
116 108 116 172
116 157 122 157
116 250 116 251
116 254 116 255
116 299 116 300
117 172 117 190
117 251 117 252
117 253 117 254
117 254 117 255
117 290 117 291
117 299 117 300
118 250 118 251
118 251 118 252
118 253 118 254
118 254 118 255
118 284 118 288
118 291 118 299
118 292 124 292
119 108 119 157
119 118 122 118
119 252 119 253
119 253 119 254
119 254 119 255
120 253 120 254
120 254 120 255
121 172 121 232
121 177 126 177
121 18 121 108
121 189 126 189
121 190 122 190
121 196 126 196
121 254 121 255
122 108 122 172
122 114 135 114
122 138 135 138
122 146 125 146
122 149 125 149
122 157 135 157
122 158 128 158
122 160 131 160
122 162 131 162
122 163 131 163
122 166 126 166
122 169 131 169
122 170 131 170
122 171 131 171
122 189 122 196
122 195 126 195
122 252 122 253
122 253 122 254
122 254 122 255
122 284 122 288
122 288 122 289
123 157 123 158
123 169 123 170
123 170 123 171
123 171 123 172
123 195 123 196
123 254 123 255
124 170 124 171
124 171 124 172
124 233 124 234
124 251 124 252
124 253 124 254
124 291 124 299
124 292 125 292
125 138 125 157
125 147 135 147
125 149 135 149
125 155 135 155
125 170 125 171
125 233 125 234
125 254 125 255
125 291 125 299
125 294 126 294
126 163 126 169
126 172 126 232
126 177 128 177
126 180 128 180
126 212 128 212
126 213 127 213
126 215 127 215
126 232 126 233
126 251 126 252
126 291 126 299
126 299 126 300
127 180 127 212
127 212 127 232
127 232 127 233
128 157 128 160
128 170 128 171
128 172 128 232
128 209 129 209
128 221 129 221
128 234 128 250
128 237 135 237
128 238 135 238
128 239 131 239
128 240 131 240
128 241 131 241
128 242 131 242
128 243 131 243
128 245 131 245
128 248 130 248
128 249 130 249
129 172 129 232
129 173 130 173
129 174 130 174
129 234 129 237
129 235 130 235
129 236 130 236
129 237 129 238
129 239 129 240
129 240 129 241
129 248 129 249
129 299 129 300
130 169 130 170
130 172 130 232
130 182 132 182
130 185 131 185
130 186 132 186
130 189 131 189
130 190 135 190
130 196 133 196
130 202 133 202
130 205 133 205
130 221 133 221
130 224 133 224
130 234 130 237
130 235 133 235
130 236 133 236
130 239 130 240
130 245 130 250
130 246 131 246
130 247 131 247
130 249 131 249
131 157 131 172
131 160 132 160
131 182 131 186
131 183 132 183
131 186 131 190
131 187 132 187
131 233 131 234
131 237 131 238
131 238 131 250
131 245 132 245
131 246 132 246
131 247 132 247
131 248 132 248
131 249 132 249
131 289 131 291
131 290 133 290
132 157 132 172
132 172 132 190
132 202 132 205
132 232 132 233
132 237 132 238
132 238 132 250
132 239 133 239
132 248 133 248
132 249 133 249
132 251 132 252
132 289 132 290
132 290 132 291
133 0 133 17
133 17 133 18
133 172 133 190
133 18 133 108
133 188 135 188
133 190 133 232
133 22 135 22
133 225 134 225
133 227 134 227
133 232 133 233
133 233 133 234
133 234 133 237
133 235 135 235
133 236 135 236
133 237 133 238
133 238 133 250
133 245 134 245
133 251 133 252
133 253 133 254
133 288 133 299
133 289 134 289
133 290 134 290
133 291 134 291
133 292 134 292
133 293 134 293
133 294 135 294
133 296 135 296
133 297 135 297
133 298 135 298
134 190 134 232
134 191 135 191
134 232 134 233
134 233 134 234
134 234 134 235
134 235 134 236
134 236 134 237
134 238 134 250
134 246 135 246
134 251 134 252
134 252 134 253
134 253 134 254
134 288 134 294
134 289 135 289
134 293 135 293
134 296 134 297
134 297 134 298
134 298 134 299
135 0 135 300
135 155 200 155
135 203 200 203
135 204 200 204
135 278 200 278
135 281 200 281
135 287 200 287
135 288 200 288
135 289 144 289
