10000 10000 5000
0 109 115 109
0 115 2117 115
0 119 108 119
0 12 875 12
0 123 108 123
0 133 10 133
0 147 3291 147
0 149 2562 149
0 154 3291 154
0 155 2473 155
0 156 12 156
0 157 2473 157
0 160 3291 160
0 1638 3291 1638
0 1653 773 1653
0 170 53 170
0 1720 3047 1720
0 177 53 177
0 1772 3291 1772
0 1785 1 1785
0 182 53 182
0 186 53 186
0 19 1015 19
0 203 3291 203
0 2037 3 2037
0 2090 3 2090
0 2094 3 2094
0 2102 3 2102
0 2106 3 2106
0 2118 3 2118
0 2144 3 2144
0 2227 3 2227
0 259 3291 259
0 2672 3 2672
0 271 3291 271
0 272 2944 272
0 273 3291 273
0 276 111 276
0 277 3291 277
0 2934 3 2934
0 35 1015 35
0 37 1015 37
0 3815 873 3815
0 3847 26 3847
0 4128 873 4128
0 43 1015 43
0 45 1015 45
0 51 3291 51
0 5337 873 5337
0 5355 303 5355
0 5436 303 5436
0 5437 303 5437
0 5438 303 5438
0 5440 303 5440
0 5441 303 5441
0 5443 303 5443
0 5473 6848 5473
0 5677 3990 5677
0 5768 3990 5768
0 5874 3990 5874
0 7622 3990 7622
0 7648 3990 7648
0 7671 6848 7671
0 8507 3319 8507
0 8535 3319 8535
0 8664 3319 8664
0 8979 113 8979
0 9823 6848 9823
0 9824 141 9824
0 9847 141 9847
0 9869 93 9869
0 9873 41 9873
0 9875 19 9875
0 9876 93 9876
0 9880 52 9880
0 9881 52 9881
0 9885 52 9885
0 9891 6848 9891
0 9931 2500 9931
0 9961 2500 9961
0 9981 2500 9981
0 9990 2500 9990
0 9991 256 9991
1 1772 1 2037
1 1983 2 1983
1 2102 1 2106
10 123 10 147
10 155 10 156
100 140 100 144
100 276 100 277
1013 160 1013 203
1013 164 1024 164
1013 170 1036 170
1013 179 1036 179
1013 191 1111 191
1013 192 1023 192
1013 198 1111 198
1013 199 1111 199
1013 201 1111 201
1013 202 1111 202
1015 0 1015 51
1015 170 1015 179
1015 19 1032 19
1015 22 1032 22
1015 33 1032 33
1016 191 1016 192
1017 160 1017 164
1017 191 1017 192
1019 191 1019 192
1020 22 1020 33
1021 191 1021 192
1022 192 1022 198
1022 33 1022 51
1023 191 1023 198
1024 160 1024 170
1026 1772 1026 5473
1029 179 1029 191
1029 180 1034 180
1029 182 1034 182
1029 187 1034 187
1029 190 1034 190
103 9824 103 9847
103 9825 141 9825
103 9847 103 9891
103 9867 131 9867
103 9889 131 9889
103 9890 131 9890
1030 190 1030 191
1030 191 1030 198
1030 194 1031 194
1031 191 1031 198
1032 0 1032 51
1033 190 1033 191
1034 179 1034 191
1034 180 1035 180
1034 182 1035 182
1034 183 1035 183
1034 184 1035 184
1034 185 1035 185
1034 186 1035 186
1034 190 1035 190
1035 179 1035 191
1036 160 1036 191
1036 189 1111 189
1038 202 1038 203
104 144 104 145
104 273 104 276
1040 1251 1040 1638
1040 1399 3291 1399
1043 160 1043 189
1046 191 1046 198
1052 160 1052 189
1052 162 1063 162
1058 202 1058 203
1059 189 1059 191
1063 160 1063 189
1063 198 1063 199
1068 133 1068 147
1068 198 1068 199
1069 1015 1069 1150
1069 198 1069 199
1072 160 1072 189
1072 183 1111 183
1075 198 1075 199
108 115 108 147
108 133 1363 133
1084 202 1084 203
1085 160 1085 183
1085 202 1085 203
1086 202 1086 203
1087 202 1087 203
1088 202 1088 203
1089 202 1089 203
1090 202 1090 203
1091 202 1091 203
11 155 11 156
1101 202 1101 203
1103 1772 1103 5473
1104 202 1104 203
1106 51 1106 115
1106 86 2117 86
1108 198 1108 199
111 273 111 277
1110 198 1110 199
1111 160 1111 203
1111 181 3291 181
1111 194 1332 194
1111 200 3291 200
113 8664 113 9823
115 51 115 115
115 9823 115 9824
12 155 12 157
1258 9981 1258 9990
126 9825 126 9847
128 9823 128 9824
13 123 13 147
13 130 26 130
13 134 26 134
13 135 26 135
13 136 26 136
13 137 26 137
13 138 26 138
13 144 14 144
1307 1772 1307 5473
131 9847 131 9891
131 9859 141 9859
1311 194 1311 200
1332 181 1332 200
1332 199 3291 199
1336 1772 1336 5473
1341 133 1341 147
1344 1772 1344 5473
1352 1772 1352 5473
1353 1772 1353 5473
1354 1772 1354 5473
1354 1966 1355 1966
1354 2296 1355 2296
1354 5152 1355 5152
1354 5379 1355 5379
1354 5407 1355 5407
1354 5421 1355 5421
1354 5438 1355 5438
1355 1772 1355 5473
1355 5080 1356 5080
1356 1772 1356 5473
1356 2358 1357 2358
1356 4277 1357 4277
1356 4499 1357 4499
1356 4600 1357 4600
1356 5238 1357 5238
1356 5240 1357 5240
1356 5241 1357 5241
1356 5242 1357 5242
1356 5244 1357 5244
1356 5264 1357 5264
1356 5450 1357 5450
1356 5451 1357 5451
1356 5457 1357 5457
1356 5463 1357 5463
1356 5467 1357 5467
1357 1772 1357 5473
1357 2171 1955 2171
1357 2196 1955 2196
1357 2442 1775 2442
1357 3644 1955 3644
1357 3755 1639 3755
1357 4402 1639 4402
1357 5256 1955 5256
1357 5257 1367 5257
1357 5262 1367 5262
1357 5273 1955 5273
1357 5311 1955 5311
1357 5313 1955 5313
1363 115 1363 147
1367 5256 1367 5273
14 136 14 137
14 138 14 147
1400 160 1400 181
1400 178 1489 178
1400 180 1489 180
141 9823 141 9891
141 9824 187 9824
141 9825 220 9825
141 9826 196 9826
141 9829 196 9829
141 9834 196 9834
141 9838 220 9838
141 9862 220 9862
141 9873 150 9873
141 9882 150 9882
1457 9824 1457 9891
1457 9864 2417 9864
1473 1689 1473 1720
1489 160 1489 181
1489 179 2027 179
15 1772 15 3815
15 2027 16 2027
15 2116 16 2116
15 2208 16 2208
15 2949 16 2949
150 9862 150 9891
1502 1015 1502 1150
1507 160 1507 179
152 9824 152 9825
1541 160 1541 179
1555 2196 1555 2442
1595 1638 1595 1689
16 1772 16 3815
16 9823 16 9824
1617 8664 1617 9823
1639 3644 1639 5256
1639 3924 1640 3924
1639 5059 1640 5059
1640 3644 1640 5256
1640 4562 1685 4562
1645 2442 1645 3644
1656 3644 1656 4562
1658 8664 1658 9823
1658 9551 1921 9551
1659 2171 1659 2196
1675 4562 1675 5256
168 9823 168 9824
1685 3644 1685 5256
1685 5106 1760 5106
1697 5106 1697 5256
17 9823 17 9824
174 1772 174 3815
175 277 175 1638
1752 5106 1752 5256
1760 3644 1760 5256
1775 2196 1775 3644
1775 2320 1955 2320
1778 3644 1778 5256
1778 4817 1955 4817
1778 5206 1955 5206
179 5443 179 5473
179 5445 289 5445
179 5471 289 5471
179 5472 203 5472
18 136 18 137
18 9823 18 9824
1802 1150 1802 1251
1805 115 1805 147
184 5472 184 5473
187 9823 187 9825
1874 5206 1874 5256
188 5472 188 5473
1895 2171 1895 2196
19 9873 19 9876
19 9874 41 9874
1906 9990 1906 10000
1906 9998 2206 9998
1910 160 1910 179
1910 173 2027 173
192 5471 192 5472
1921 8664 1921 9823
1929 5256 1929 5273
1929 5259 1953 5259
193 5471 193 5472
1944 4817 1944 5206
1944 4870 1955 4870
1947 5259 1947 5273
1953 5256 1953 5273
1955 1772 1955 5473
1955 5287 2025 5287
196 1772 196 3815
196 1788 199 1788
196 1814 199 1814
196 2044 199 2044
196 2216 199 2216
196 2221 199 2221
196 2422 199 2422
196 2443 199 2443
196 2462 199 2462
196 2551 197 2551
196 3749 197 3749
196 3753 197 3753
196 3754 197 3754
196 5471 196 5472
196 9825 196 9838
196 9826 198 9826
196 9827 198 9827
196 9828 197 9828
196 9830 198 9830
197 2221 197 2422
197 2422 197 2443
197 2462 197 3815
197 3050 199 3050
197 3427 199 3427
197 9826 197 9827
197 9827 197 9830
198 1814 198 2044
198 2422 198 2443
198 3427 198 3815
198 3726 199 3726
198 9825 198 9838
198 9826 220 9826
198 9828 220 9828
198 9830 220 9830
198 9832 220 9832
198 9833 220 9833
198 9836 220 9836
199 1772 199 3815
199 3059 202 3059
2 133 2 147
2 155 2 156
2 1772 2 2037
2 1928 3 1928
2 1937 3 1937
2 1984 3 1984
2 2033 3 2033
2 2034 3 2034
2 2106 2 2118
2 2111 3 2111
2 9823 2 9824
20 9823 20 9824
200 3059 200 3815
200 3355 202 3355
201 5471 201 5472
201 5472 201 5473
202 1772 202 3815
202 2761 211 2761
202 2901 211 2901
202 3694 209 3694
202 5471 202 5472
2025 1772 2025 5473
2025 1830 3291 1830
2025 1850 3291 1850
2025 1891 3291 1891
2025 1951 3291 1951
2025 1953 3291 1953
2025 2003 3291 2003
2025 2640 3291 2640
2025 2752 3291 2752
2027 160 2027 181
203 5471 203 5473
203 5472 289 5472
2051 115 2051 147
2051 123 2117 123
2073 9998 2073 10000
2074 9998 2074 10000
208 3694 208 3815
208 3802 209 3802
208 3805 209 3805
208 9823 208 9825
208 9824 219 9824
2089 9998 2089 10000
209 2901 209 3815
209 9836 209 9838
209 9837 220 9837
2093 149 2093 154
2099 9990 2099 9998
21 1772 21 3815
21 1949 40 1949
21 1961 68 1961
21 1990 54 1990
21 2098 68 2098
21 2109 22 2109
21 2122 22 2122
21 2245 22 2245
21 3030 22 3030
21 3115 68 3115
21 3116 24 3116
21 3117 24 3117
21 3118 24 3118
21 3160 24 3160
21 3163 24 3163
21 3166 22 3166
21 3172 24 3172
21 3177 24 3177
21 3242 59 3242
21 3528 53 3528
21 3746 59 3746
21 3756 54 3756
21 3801 54 3801
21 9823 21 9824
210 1772 210 2761
211 1772 211 3815
211 2169 224 2169
211 2184 224 2184
211 2315 319 2315
211 2371 319 2371
211 3129 319 3129
211 9824 211 9825
2117 51 2117 147
212 9838 212 9862
213 9823 213 9824
214 12 214 19
214 14 875 14
214 9824 214 9825
2146 9931 2146 9961
216 9838 216 9862
216 9855 220 9855
2175 160 2175 181
219 9823 219 9825
219 9824 220 9824
219 9855 219 9862
219 9858 220 9858
2198 203 2198 259
2198 252 3291 252
22 2098 22 3115
22 2333 68 2333
22 2432 68 2432
22 2584 68 2584
22 3163 22 3172
22 3177 22 3242
22 9823 22 9824
220 9823 220 9891
220 9824 2417 9824
220 9846 1457 9846
220 9890 1457 9890
2206 9990 2206 10000
2215 160 2215 181
2215 163 2515 163
2215 176 2515 176
224 1772 224 2315
224 2037 319 2037
224 2264 319 2264
2245 1150 2245 1251
225 51 225 115
226 12 226 14
2293 8664 2293 9823
23 3115 23 3116
2314 160 2314 163
232 12 232 14
233 9846 233 9890
2348 259 2348 271
2350 9823 2350 9824
2352 9823 2352 9824
2352 9990 2352 10000
2352 9991 2500 9991
2353 1720 2353 1772
2353 9823 2353 9824
237 5471 237 5472
2374 9823 2374 9824
24 3115 24 3242
24 3212 34 3212
24 3239 34 3239
24 9823 24 9824
2409 2752 2409 5473
241 19 241 35
2410 9823 2410 9824
2417 160 2417 163
2417 9823 2417 9891
2417 9858 6603 9858
2417 9861 6603 9861
2417 9868 6603 9868
2423 2752 2423 5473
2423 5153 2485 5153
2473 154 2473 160
2479 9991 2479 10000
2485 2752 2485 5473
25 136 25 137
25 3115 25 3212
25 3203 34 3203
25 9823 25 9824
2500 9891 2500 10000
2500 9892 4008 9892
2500 9895 4008 9895
2500 9902 4008 9902
2500 9905 2979 9905
2500 9906 3393 9906
2500 9909 4008 9909
2500 9914 2862 9914
2500 9915 6848 9915
2500 9964 6848 9964
2504 154 2504 160
2515 160 2515 181
2515 176 3291 176
2522 154 2522 160
2523 1638 2523 1689
2523 1639 2801 1639
2523 1640 2801 1640
2523 1644 2801 1644
2547 1638 2547 1639
2551 1640 2551 1644
256 9990 256 10000
2562 147 2562 154
259 277 259 1638
259 415 612 415
259 427 612 427
259 431 612 431
259 654 612 654
259 9823 259 9824
26 123 26 147
26 128 69 128
26 3815 26 4128
26 9823 26 9824
263 2264 263 2315
2639 1644 2639 1689
2649 1638 2649 1639
2667 1638 2667 1639
2668 1150 2668 1251
27 3815 27 4128
27 9823 27 9824
2700 1644 2700 1689
2705 9891 2705 9892
2734 9914 2734 9915
2778 277 2778 929
2778 317 3038 317
2781 5473 2781 5677
28 9823 28 9824
2801 1638 2801 1689
2801 1645 3047 1645
2830 9914 2830 9915
