10000 10000 100
3188 6207 3251 1221
2300 6523 4939 2579
6854 3041 2209 4888
8128 2178 1186 173
1093 178 4629 374
2693 1370 437 558
5778 1111 4165 3633
5053 6035 281 2258
5096 9169 1165 296
6072 8263 2201 604
204 1474 4428 1511
3884 1632 1073 3615
1056 1297 4874 1048
7021 3631 1927 909
5334 5385 3472 549
6660 2612 789 410
2474 1326 2340 4480
9803 2779 85 1415
4575 5780 272 515
2514 7852 3616 891
8966 2634 642 1879
6288 8472 3220 224
2702 556 4110 344
823 4414 3409 3797
9112 8037 49 503
6953 3186 2263 4139
7025 6917 2238 383
3088 5247 4652 3557
8153 3294 411 2013
6403 8605 1630 559
2653 3213 3129 4624
4560 3585 1004 81
8964 2950 219 2239
7305 4673 1939 2890
5210 7931 3225 1939
952 7431 4189 1916
1253 736 1267 3765
2192 2790 595 254
3506 6544 4953 1293
6928 8177 1142 628
4910 7357 1139 37
3140 4825 89 1741
6102 6442 3437 3015
1874 5159 1525 2529
4837 8802 3998 459
1051 4477 3985 3087
1761 1599 486 381
4769 3451 4426 3517
4215 3290 2230 1798
5154 8238 2091 1133
559 9053 714 545
3974 2716 4316 4174
3495 4682 4452 4064
182 9891 1195 5
9388 6102 513 601
3855 9415 4356 156
7591 1782 1026 4293
699 9454 34 361
4487 1567 1633 1000
3051 2219 1100 4523
2967 2623 3634 44
4548 723 3426 2162
901 4026 2104 4526
9862 2772 36 573
342 8776 4080 269
8459 47 1179 2021
4614 2303 1820 4308
6627 389 2490 3585
3904 9330 4287 83
2149 8623 4051 946
4931 9933 3842 45
5247 1015 3202 858
8995 2120 167 2138
4060 6 293 1461
4975 3225 2737 1123
7084 8235 2245 91
6644 7037 1728 158
4199 1339 4498 860
674 1291 3631 4264
2365 975 4397 1800
5567 1924 4265 2254
8733 3106 394 1949
8745 5653 786 3880
3150 5856 4892 2776
2237 7170 14 2324
5868 6204 3106 2907
3125 9936 1801 18
2745 2058 278 2000
4432 1874 3339 2581
8615 3189 247 1769
3930 1249 894 4273
5082 71 4215 2409
1508 564 3145 2598
947 583 3866 4682
4408 1963 691 4399
9505 338 58 3344
5097 2257 2203 638
9179 4621 664 4524
5392 6489 1973 1622
4417 8969 1287 315
