500 10000
311 387 934042792
87 209 460650147
393 424 152375691
470 398 276001891
428 357 390220450
168 135 45749109
283 287 424939687
435 56 792506795
327 302 465743101
85 495 663441384
200 352 13579775
348 397 199840392
356 0 412990549
199 63 622740881
141 335 951380267
348 70 765862482
64 114 947780744
423 335 908152720
449 455 974434044
417 173 457323854
22 413 939860010
210 172 122567251
58 376 256183370
292 484 658842222
87 393 747819090
270 0 335713066
476 481 21671132
213 161 54349950
8 316 290964327
219 277 820783604
265 239 230206970
270 319 293757332
370 160 980841115
27 393 59798838
142 402 932310354
203 366 110406850
135 250 362508717
280 277 174151685
241 204 929020020
377 288 41107515
196 349 707010916
237 433 240207736
284 396 539966032
377 36 188024117
32 282 55256318
227 282 746776849
374 93 197721520
96 312 10274279
395 494 697822782
46 130 995501674
47 175 258342282
434 489 866286245
174 104 9496394
431 425 903627116
232 385 459519653
244 485 760311762
475 477 146179338
266 427 221801515
243 499 465487056
272 325 95129184
160 442 543564822
68 408 314606054
80 309 292273254
409 373 218577030
325 26 704489847
359 203 191071784
302 68 851084741
488 482 499011693
179 107 474939509
293 111 472454547
101 411 242162190
362 367 733824126
388 426 837662046
465 253 149790303
409 468 730314695
228 438 591776159
182 479 771480154
308 249 33977210
244 0 737559894
384 405 709721228
384 498 848203816
471 482 395019718
148 253 310914371
55 316 798796678
412 143 548318349
497 277 559325621
259 215 526869401
63 258 391525827
260 30 43977230
476 293 257317470
465 483 326373327
225 414 514886383
327 5 391331717
404 59 27916942
327 349 346652673
424 494 73185311
31 84 504297498
300 67 278273496
130 54 760141318
474 370 385245215
414 430 622933778
379 405 493593347
441 470 657516651
453 476 958068398
387 27 952479861
122 333 623992673
448 382 891230383
463 466 743754783
481 304 653382964
499 492 257319153
392 241 706239662
5 183 672820776
211 258 905584307
105 151 208396502
5 22 504940797
130 180 613436236
486 304 749539728
302 50 100565878
227 341 697472871
299 407 424621133
389 229 86734177
191 181 400076006
380 296 608599452
408 150 778698843
270 329 550369015
357 304 248750682
122 205 893778748
181 205 29198591
5 423 878943947
453 141 547741456
158 498 120712098
478 388 475364387
423 443 51807788
155 444 276890011
304 305 376404215
472 468 808133709
462 480 349893654
89 293 775753570
468 469 584780754
360 493 868842495
438 427 590428745
322 309 617737446
351 407 828448157
38 150 162814564
468 165 993551771
99 71 348246095
310 327 541299023
453 319 31235245
29 18 438697981
169 387 503791026
15 354 28378506
26 491 756623545
464 416 421823916
382 462 146668307
206 482 597268071
333 451 203000848
191 440 125839950
377 323 720556975
215 39 308873371
38 216 381829224
489 364 574504886
256 53 633047372
481 102 124255207
117 0 141647812
253 85 990017937
266 0 131557723
369 181 988093837
4 331 722779123
403 351 394254751
499 183 666633513
357 375 94249146
223 95 457863196
393 457 753800154
452 339 109573666
148 284 434087287
5 14 521889087
375 213 803477545
377 319 896770762
140 419 441584187
50 58 816418952
243 451 243910192
427 486 273912668
302 242 555801766
142 103 834190750
304 160 166308605
375 354 869442375
366 226 686016280
214 192 885001080
182 288 620636461
287 174 237047305
290 325 860411509
200 111 53999730
24 268 664569911
55 420 391689321
241 130 124440364
143 139 941951437
142 499 538288799
345 346 150747442
158 22 951715206
480 277 901417933
197 232 630855049
455 471 462426937
392 448 795798885
279 276 792427439
329 435 665993112
172 442 662172716
175 54 680591149
161 62 167771094
351 494 477386455
289 409 96282155
273 51 537192412
380 491 802045281
9 63 265460128
498 499 850981194
117 407 600616950
388 204 354857075
364 195 449670948
233 400 770832208
417 396 995438920
43 345 24769567
419 375 379611968
497 495 63396132
359 21 984755820
149 192 899464861
424 408 476633471
34 41 705705090
456 124 470229658
46 459 378776397
173 484 822185797
131 423 529627326
434 130 449624116
344 403 46132688
156 112 684068387
305 425 339534166
280 469 815797539
498 247 867071388
245 90 96292641
11 17 87616878
80 262 211407997
470 351 663923560
265 256 859249810
490 407 653484386
386 173 736129840
280 23 987061499
101 269 424949769
338 341 338493597
104 79 432654370
166 289 178233279
494 496 56021199
187 255 231184899
415 280 203572496
465 445 948809868
282 93 18384271
203 256 767223486
431 81 700261066
485 340 546758519
376 487 947787215
206 486 936919215
79 385 386263926
400 258 572087157
493 324 620634012
445 433 548087834
269 261 316090276
337 472 550415214
62 441 367048060
128 291 615583980
421 458 136923169
272 66 717904300
135 206 959244633
380 59 68750243
355 290 377648035
289 261 456732349
314 458 129650651
468 293 166651129
230 295 894173798
444 51 705607694
431 343 968010363
488 192 198611500
211 328 550029253
274 260 364181220
315 133 165620292
312 85 75535146
467 477 446812660
365 422 85282767
356 233 895795159
248 429 176394316
234 482 83384865
479 465 582653046
80 85 791471488
213 16 535926935
453 18 662910933
383 318 89504318
284 143 486147762
364 358 186802368
294 64 139204608
84 287 757833644
281 148 69958308
392 381 504431737
247 88 62199661
420 446 376794758
351 385 723114025
2 233 940567694
25 145 25663762
102 98 732600419
93 54 475854220
425 449 630416077
289 386 338360713
372 305 821049551
432 43 575768040
372 463 865434719
405 250 526274670
170 3 846882935
420 484 870230200
441 494 553788008
361 362 303349137
413 423 377817516
257 349 612404242
236 485 724867286
106 139 939157405
100 363 790359216
328 408 811486019
69 20 382735539
423 68 826920916
67 256 541366141
379 219 190122806
241 338 261143648
192 240 402099342
468 487 594166114
244 153 359036755
346 406 911974215
95 36 156926265
275 132 599984661
425 478 148668287
325 462 799327443
127 287 783497877
483 463 972438213
198 145 800918112
174 255 243060805
483 491 452915530
270 327 517477609
320 443 278160458
481 463 245956903
496 478 699153519
231 327 138903047
467 489 517938842
334 365 647520629
16 182 79647955
295 245 557029714
10 36 191748426
291 0 510978484
196 334 390296608
180 128 4558563
217 166 960959149
259 217 383782406
428 165 677980245
131 465 898127338
487 382 85176466
470 491 393817555
88 305 199797885
385 474 135674739
473 447 924140640
150 432 73267122
489 263 160180973
276 407 731652685
53 277 939255915
86 118 316779626
490 495 678236210
454 352 487559260
268 324 134695902
436 492 398558633
249 233 160043589
253 429 160484535
475 471 880729143
482 423 877134120
179 198 716203436
391 431 745461251
442 488 252624351
406 423 648408428
330 366 36401535
444 231 96308153
83 194 4964762
294 227 89635491
281 308 413867182
383 414 565504540
62 410 877343159
364 360 933000146
102 129 425068414
