100 1000
42 29 728988131
94 59 931420378
30 33 745692421
69 89 178346858
1 41 89058518
93 95 966258391
75 63 571606651
48 82 413236309
99 20 902549385
62 17 981340898
86 90 773354181
34 42 426302587
96 99 389031610
83 77 906896451
95 71 61130994
57 53 347782943
48 62 325928238
31 27 123002784
74 83 752333446
75 15 36733033
35 39 128037251
12 5 238179917
21 99 583557473
89 47 551126050
38 32 655418725
45 38 327834598
54 36 910418786
87 56 664561281
96 71 861784555
7 52 894048467
99 59 566842638
7 19 721140691
35 56 155562648
7 0 393495189
72 64 582545362
22 85 727659839
48 33 917589559
93 90 341440714
1 45 296727883
84 92 291785328
85 97 287879433
82 87 461639310
92 3 369196755
32 42 851439948
24 48 383669380
78 4 795441941
45 61 260161290
9 63 89608956
87 94 263610168
95 72 353446252
3 10 277066012
19 99 661853616
68 79 633168193
93 97 552625596
67 21 269292281
40 3 749042700
77 67 222896472
39 13 472762797
86 31 342834715
79 15 730845235
86 96 826326806
50 20 558630183
84 67 815415804
74 97 615067589
66 67 323728512
11 59 174119018
70 74 411771360
95 67 62469883
11 65 787433492
95 83 71943346
85 16 168040715
49 31 147616911
52 56 366063963
42 97 763881980
20 55 796802094
55 24 104748245
81 87 320036241
77 50 668832607
89 78 160968710
50 71 209253007
51 36 868984872
93 78 120617389
52 78 606619604
34 0 403441151
15 53 592409376
33 61 802754257
67 22 201973178
43 90 319295552
35 2 637977558
65 21 633259369
36 38 2466143
47 24 776133390
30 53 238986506
47 76 953597433
8 82 276862084
28 90 968991316
56 57 565537862
70 8 20464905
98 24 480138756
38 43 73143972
88 89 39766132
60 91 389043887
96 95 856296247
8 45 683315607
42 72 966257226
56 44 398054259
18 29 747343171
61 21 222081914
74 95 204528204
23 89 728604166
51 76 672983860
88 93 360524385
36 81 573534985
70 78 404275985
32 86 682351143
92 76 266736162
33 36 555539544
95 19 949988315
32 80 638066793
90 73 698990400
53 36 303975194
33 10 136016562
70 82 384407589
77 41 56885765
98 70 47318757
15 0 371000917
47 36 647956273
32 83 517673980
90 96 281535711
26 66 489211288
64 16 22038807
88 81 996847171
19 84 863145323
55 85 635408969
6 12 326526449
41 74 277342733
44 23 992406475
50 98 327420713
57 70 568940340
92 57 244008733
80 86 531735267
25 79 480568850
34 94 185069270
43 86 24308813
10 9 280035783
81 46 234726530
18 64 705227572
41 22 702255494
34 67 429284573
87 72 380102199
90 44 643796919
96 85 927490433
84 86 239975777
69 50 441854890
17 42 431710637
4 41 452439224
32 13 11616938
75 70 160368485
84 62 837583491
98 44 772796612
30 78 120190763
98 95 513120039
97 88 844936166
7 96 584185679
1 0 492464556
47 84 779685810
0 50 72024687
76 81 108334099
74 98 399955739
41 96 682378985
65 94 707452984
99 87 580585041
79 93 269010760
85 69 900778976
85 95 320000383
80 77 863886342
17 89 751099145
80 76 876106889
3 82 907009432
43 80 602302202
91 97 611110746
74 62 799619778
20 75 302372529
32 77 278836955
76 19 103699003
48 49 70346124
93 91 513921151
13 74 80397984
79 73 648957865
20 15 565054411
78 23 481596353
24 71 803768630
80 5 407659916
61 81 585778834
98 91 530159560
13 20 289134057
44 65 602303685
89 99 656392645
93 3 432735598
73 87 149949133
19 66 56380681
81 77 931240080
69 93 505594961
78 49 730403413
45 97 979464826
66 41 448188388
66 86 752688091
62 54 749738032
49 96 861960186
78 81 47893590
43 85 846344130
74 77 521659504
73 17 531999075
39 43 558660721
90 95 715886193
8 5 728798619
71 76 339734847
35 17 346748578
1 60 429715464
20 63 131771341
15 78 967571960
46 53 255643053
85 35 392496501
18 94 76293796
89 91 297545916
88 74 321528247
38 0 110187969
30 15 384468222
87 78 20923700
56 69 858260494
51 59 541958686
46 88 686665114
65 69 998315373
72 83 942598238
68 76 283127215
69 60 383268211
13 91 231272024
87 67 703421205
7 17 177586365
72 29 949618061
56 92 769072018
60 30 102251266
89 98 981599972
86 97 676887989
33 82 748729430
68 49 328732781
43 82 113402497
28 29 167238767
71 48 847496241
81 51 844250171
39 84 832694011
70 76 242410928
53 96 547146325
13 25 893042367
18 68 922247950
14 20 387417045
23 74 733094213
70 83 527478554
91 90 488286096
91 95 534615663
18 77 989256627
52 23 771407261
45 28 53295551
77 99 311674989
89 73 863207522
41 59 418976643
48 23 838358038
13 81 228966408
57 72 660091927
94 81 978255394
11 75 742066123
35 16 757005558
95 33 165408794
58 69 266672175
23 59 116749217
63 80 194129654
76 21 905091725
49 26 370176812
75 85 60556933
39 33 606655679
64 83 66167715
59 2 222267808
11 9 723847183
88 19 279958228
68 87 98576429
45 27 206148347
65 62 789047044
25 15 568465311
26 91 641331019
26 69 65794304
17 11 824327438
16 90 93456077
32 52 648479948
65 73 303123511
5 9 15236653
87 70 223068407
17 10 47966554
11 88 791785736
65 78 124015656
69 55 206122097
56 19 995287514
24 18 74697097
70 86 14248501
77 91 322377175
64 80 243820133
50 3 289122112
29 39 610092621
22 95 283476119
85 93 550025858
98 73 466103205
49 57 78169715
76 85 789149573
78 63 293418669
47 51 807502881
14 29 155801688
70 38 767027402
18 76 980220872
99 6 870534170
45 14 127302178
36 74 371116094
86 69 512588783
73 19 253463386
65 35 958898876
79 57 285859497
55 22 58245121
26 77 785247268
17 26 169490110
85 74 613144746
57 65 218914231
33 20 330482381
93 16 937334989
2 95 891854400
85 99 527260601
47 98 667814415
72 84 945878015
61 22 863409058
79 85 70882720
50 36 437050388
81 59 555355108
62 21 197815764
28 83 297878158
69 59 583563906
82 90 521654363
53 26 803477899
1 11 225572601
66 89 543880393
29 71 340455776
5 51 365384640
24 25 751690402
93 84 1450986
6 43 117786900
82 71 33808320
98 53 846689603
68 47 202074565
38 61 468849023
35 9 760453188
79 88 612720259
55 70 378967303
78 66 544043994
91 92 8567431
71 26 467466564
20 59 870982138
86 72 280984608
76 94 831103089
32 14 907385896
96 82 438440934
89 46 956813644
31 21 295813821
8 71 598288292
58 91 413436867
70 68 350154729
93 96 42014322
27 47 40950084
30 41 597652119
88 60 466694851
70 41 56607107
44 57 732350069
39 79 743262765
24 3 39883186
3 36 426021069
56 31 353315061
71 94 14075760
83 53 277340740
70 48 802747082
19 58 877999144
56 17 623880702
90 81 181182987
31 81 681959122
47 21 626541293
98 82 953974207
41 44 537210200
58 62 271917174
63 46 881556072
50 78 648668573
70 13 587194020
1 23 862704028
79 92 948668865
76 98 187627210
35 64 861184621
58 2 301595711
14 54 618279533
49 36 918332971
87 90 817329979
98 85 770534962
96 33 89195259
15 3 96486681
92 90 10413083
28 93 102384624
38 52 971824385
71 61 3137758
57 24 609116875
83 60 963710368
66 34 594479217
33 75 612799500
59 28 440056145
97 89 93374746
18 81 430406369
1 13 545617639
37 94 240835905
97 68 930701799
39 54 750165150
76 65 853571462
56 94 900684754
77 97 210728205
25 61 970131310
71 56 298898215
14 43 479478143
70 80 672498162
90 97 740642313
31 97 95043770
46 59 358629066
49 50 914076792
1 67 972849037
80 66 156165618
69 39 196421790
88 92 827658135
85 30 848373270
62 56 30681744
94 92 901192319
71 59 671618502
61 56 654620418
19 33 215529078
67 75 789037565
9 57 908085663
74 50 483450868
24 82 984589658
11 34 33564451
52 14 119226032
88 71 649639859
73 27 74012418
28 14 531747050
75 51 198573095
47 62 554164809
37 58 918979617
34 6 877790357
60 32 270463500
23 26 156556613
93 82 928669792
2 36 273471228
10 28 799067981
9 53 217067459
78 44 83270286
49 72 190578234
97 27 75306999
15 11 844940531
64 75 831031894
15 77 284838502
11 63 315805452
82 61 981983758
47 11 734897121
78 62 138180699
8 4 546868031
38 59 975982409
68 17 720413865
95 59 82735273
60 97 668375363
95 87 331804113
77 96 987285598
13 84 80564958
67 2 905723517
38 78 679940069
88 52 536523834
8 51 440480227
85 5 251430347
92 95 393666271
57 68 983536252
50 59 869501008
21 41 622210974
68 28 614481293
27 52 371787875
53 18 291517414
11 37 673232219
79 53 416350268
74 45 311918228
41 27 873040104
65 22 423186916
63 93 603658249
50 73 153884216
52 9 818228084
75 73 933156633
34 81 178733387
98 81 891684652
67 61 589826093
79 34 622744638
31 90 504219068
2 55 313823098
93 65 103980796
45 71 194151276
94 91 717342401
16 47 22620975
85 57 946961808
19 27 556441449
93 92 517499243
89 53 943255801
94 70 139375381
83 8 899524110
44 32 345714431
86 48 537522410
32 37 371410193
66 27 842797327
87 20 426598151
73 51 297949333
50 4 792202884
23 7 309037123
48 35 455911902
69 91 160400038
66 50 864313758
41 81 963976533
90 99 981466792
83 43 984005914
24 60 805522457
66 74 12193766
57 58 571252883
16 71 596293950
97 11 791798630
10 50 137066070
33 31 846127704
37 74 28561260
87 97 927664213
49 6 610132589
57 26 266037087
38 68 371619304
74 58 226301988
87 86 320148458
97 51 618898080
3 63 486038243
71 64 188429171
46 32 717050760
68 84 488594467
7 85 293224884
94 98 47176595
2 61 568432379
92 21 872008282
29 77 847541987
58 20 579317537
94 99 752827063
93 98 823803235
68 50 686479699
94 93 136044476
77 85 732374259
0 45 151113296
91 72 985849561
45 3 813323148
10 23 156460988
29 82 378620375
45 66 542328680
17 76 129013367
37 51 841518978
87 33 812470464
26 85 171055509
45 12 728362038
43 66 620440429
50 24 303950551
88 82 219405240
28 48 857142898
78 83 602816774
83 34 703275429
4 55 651945110
90 36 361437402
67 55 862971607
14 30 113457093
95 97 847446217
7 49 622393434
29 43 110353261
93 67 960986599
38 29 424688382
83 89 964097893
73 82 139225177
69 27 898401123
87 92 409316271
9 4 327903726
67 45 80025920
33 45 686844383
73 74 170623957
77 46 380004289
87 43 266856815
51 66 60765365
92 98 53603467
9 98 62336940
34 95 766303443
96 92 819363413
88 83 317629418
40 2 712088580
23 97 574220497
1 88 538392299
44 25 359214366
40 39 546547855
18 86 891364120
82 13 359557721
56 65 133983652
36 41 560546401
13 78 715172371
48 11 145460277
86 93 951286765
20 66 139321381
95 88 366706400
37 47 933462260
64 54 334177638
89 56 944038675
92 70 978993362
44 94 865956378
52 81 76314304
98 37 273280217
67 92 501849009
97 67 642474326
82 34 518565614
57 60 559856806
77 45 554380995
33 9 346103525
70 72 846415871
98 96 841513275
76 88 683582779
56 93 761890310
15 7 240553120
17 27 168468499
23 64 424580145
95 99 670820578
92 61 222076361
58 99 42336875
34 28 930285533
62 39 16319874
79 80 216228787
88 99 839481293
60 82 941384820
18 10 195934253
52 74 663354198
19 42 299018245
87 42 627089005
2 33 981972444
91 74 232343233
85 68 307404631
5 68 109999627
24 42 906365056
65 87 991060792
23 41 69706932
69 2 421037894
65 64 189800062
98 90 749971691
10 63 575763581
75 80 536970840
52 92 99513336
34 8 867154153
52 82 309791235
98 30 874146114
99 15 325697940
72 92 551731501
27 30 163700276
71 51 97874078
80 92 448849775
11 32 488652169
77 23 606849850
26 9 61369581
89 77 47227542
88 42 39149402
46 78 148394521
2 3 535076514
89 90 106970668
1 12 811005326
51 50 300341836
92 83 101968737
83 79 341731096
11 22 999001360
26 8 325751075
97 76 514618597
84 91 864852818
47 82 293154481
52 84 56734842
96 65 329161689
56 45 8781238
67 32 429120
30 10 964200102
41 91 507621034
25 82 86853412
48 41 261248459
16 7 36493054
22 29 193542800
74 69 659783732
77 39 409366461
94 40 678371278
2 23 285813723
74 59 289196104
30 18 61219554
14 11 629273997
9 21 824777670
5 43 256828658
90 17 67450122
52 47 22782469
12 96 518986829
87 98 827895053
41 62 874787614
30 81 359077876
82 95 276110523
50 33 47486809
57 41 370503308
86 68 379361421
99 56 418944702
72 93 803655179
63 61 774523447
3 85 619364266
30 59 922530943
68 32 450834359
66 87 393046774
29 17 651526553
94 83 59217985
1 39 786084579
93 99 922398703
91 99 590922398
99 98 351891729
32 22 688738871
23 8 390179381
97 96 5686489
2 14 222582837
38 1 42716679
64 95 435858420
10 89 823931038
99 97 643971941
35 90 847448932
58 21 914856928
65 88 446443748
98 72 716920735
47 58 877880313
35 58 641091272
83 82 925409685
40 60 635702925
20 16 30885626
48 84 687643449
91 4 308955681
93 10 514147060
81 44 561825814
96 94 794403562
35 67 214449350
85 73 537508617
66 38 971856896
32 43 540867257
75 32 99199664
63 64 429670427
89 92 938968393
38 69 23059282
78 57 237064112
11 55 823669
56 72 247208425
44 77 815572424
70 23 427336183
44 55 28689974
20 93 830265210
86 52 435474065
32 91 342675509
44 96 927161709
50 27 561018899
5 2 440146659
71 86 416591466
65 85 683554417
81 71 999863420
65 31 104031102
19 8 272824868
46 3 212624458
77 93 457741304
44 58 333271981
64 12 875311192
17 6 613993432
49 22 445246529
69 37 212374269
80 90 718784382
70 73 265808968
47 15 166978433
81 65 911061913
42 57 612224891
94 97 146679941
94 64 315256858
82 35 804834336
71 73 114673127
86 88 97883953
71 54 955664428
58 77 900492627
4 6 337742322
94 75 208378464
59 58 500130058
43 49 658068533
25 28 578455828
22 24 495914200
50 64 114617945
96 60 744436439
35 7 979523825
36 91 979468098
68 92 333348017
5 64 53366511
35 63 45226535
11 56 749605273
89 75 740363836
91 96 494416562
68 36 571051705
82 80 473759197
35 75 804150918
0 77 42486422
1 36 123932730
7 48 97942228
92 33 611599715
46 40 129978857
82 74 379595006
81 75 173131485
94 90 606143040
68 55 493623947
47 91 611341611
66 71 877164983
78 47 745526631
70 24 404690936
88 91 901997803
82 1 36400450
64 45 423020989
98 97 204920167
50 37 664635411
46 17 977322934
38 88 287368325
55 96 207106304
61 64 768873191
68 58 530357507
7 10 357112478
81 25 950374167
68 95 123041693
9 47 679827912
60 81 204901415
79 87 485899410
47 79 26468916
92 78 883894272
66 60 459228132
49 5 243338972
77 60 784644044
65 36 502777968
85 89 274552818
42 5 945547971
71 98 375657330
73 15 96146923
72 43 32770291
20 73 691670941
93 9 861235280
28 33 543249057
86 94 909415200
78 32 170445371
51 16 272573022
58 27 734781370
40 57 800000132
34 31 922780337
86 12 120349054
36 52 666182585
23 86 929471965
18 58 16801739
95 86 599138273
93 87 383170381
38 30 78256475
23 93 956305974
21 0 907577358
35 44 569107564
60 71 312640583
94 79 39450658
93 80 664660405
0 39 328633848
69 90 879657915
67 51 985099609
28 87 761897747
62 51 875514778
95 94 259523195
2 22 969901713
74 93 376303275
13 22 4646350
39 91 528787891
47 69 52621744
41 60 282044299
26 87 585689412
55 31 111283584
33 73 162598410
72 67 458275015
78 99 158842900
15 37 860908974
71 93 908592360
7 2 471177920
35 55 482142085
29 34 116801022
0 4 15537798
73 30 132719400
5 54 20296064
2 21 142979143
64 76 371443898
81 84 851791215
49 15 139297348
72 96 827358859
29 30 675827566
11 95 19931642
17 30 922391343
38 48 187833379
80 22 746054276
62 55 802261299
79 76 281585833
60 75 966219101
30 75 666543009
52 0 423754337
0 76 647219373
81 26 326370420
92 69 206190241
98 0 518734887
37 76 776942468
88 85 637857049
22 5 361013856
89 21 611394481
66 49 205018859
10 51 849291312
5 28 356359783
95 62 686196178
86 89 902987443
82 99 433503667
98 67 614595183
11 79 708134886
2 1 820978492
86 64 996797618
73 63 58323056
52 3 288679023
67 86 438874583
83 96 366796980
70 91 895469624
60 51 111507631
80 48 549216098
82 78 883479208
99 75 54268001
22 69 808728015
22 28 932240635
55 21 849264647
95 65 805653125
89 95 712444742
40 33 751560354
40 86 969164395
31 15 169602118
3 57 900736019
14 26 494325775
43 45 329145692
69 40 994219943
52 24 166102425
58 43 158790910
38 91 228233525
54 86 835854969
80 87 662070315
46 6 844934942
68 96 844588718
74 34 842390587
41 19 577421712
69 82 977234005
51 26 63454977
34 48 36520613
62 60 18437323
67 94 707627227
80 96 913382087
84 99 383793926
15 68 934431122
52 70 571371869
64 9 628210469
48 19 48247655
34 73 797261157
64 46 895153374
41 6 518897646
32 1 178602135
77 52 449276052
93 22 364044505
65 67 611124011
39 9 364895484
36 29 149000202
16 30 406997465
81 93 553169996
39 17 509494082
91 75 612895826
99 71 735054049
4 7 213170074
87 53 932847956
17 59 807597136
60 79 918331407
2 57 491986682
26 83 453239587
13 88 264114631
79 27 318858351
42 75 99638516
75 74 350079158
90 20 21282665
63 15 369697079
